institute_name, address1, address2, city, district, state, board, contact_no, email_address,category,branch_name
Bhavan's Vidya Mandir  Trimuti Nagar,Trimurti Nagar,Trimurti Nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A+,CHATRAPATI SQUARE CENTRE
Bhavan's Bhagwandas Purohit Vidya Mandir  Trimuti Nagar,Trimurti Nagar,Trimurti Nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A+,CHATRAPATI SQUARE CENTRE
Bhavan's Bhagwandas Purohit Vidya Mandir  Ashti,Walni Ashti Nagpur,Ashti,Nagpur,Nagpur,Maharashtra,State,7122667479,bvmashti@hotmail.com,A+,HEAD OFFICE -NAGPUR
Carmel Academy,Waddhamna  Opposite Highland Park  M. S. India Nagpur   - 440023 ,Waddhamna,Nagpur,Nagpur,Maharashtra,CBSE,9421724417,carmelacademy@gmail.com,B,HEAD OFFICE -NAGPUR
Centre Point School Dabha,Katol road nagpur,Dabha,Nagpur,Nagpur,Maharashtra,CBSE,7447407638,cpskr@centrepointschools.com,A+,HEAD OFFICE -NAGPUR
Dinanath High School and Junior College,Ahilyadevi Marg  Dhantoli  Nagpur - 440012  Near Police Station,Dhantoli,Nagpur,Nagpur,Maharashtra,State,7122426544,,B,HEAD OFFICE -NAGPUR
G.H. Raisoni Vidyaniketan,271/B  Lake View  Hingna Road  Nagpur   440016,Hingna Road,Nagpur,Nagpur,Maharashtra,State,7122223190,info@raisoni.net,A,HEAD OFFICE -NAGPUR
Centre Point School Seminary Hills,Seminary Hills,Seminary Hills,Nagpur,Nagpur,Maharashtra,CBSE,7122584394,cpskr@centrepointschools.com,A+,HEAD OFFICE -NAGPUR
The Central County School,55Hingna Road Rajendra Nagar MIDC Hingna Road,Rajendra Nagar,Nagpur,Nagpur,Maharashtra,CBSE,9689936575,info@tccsngp.org,B,HEAD OFFICE -NAGPUR
G.H. Raisoni Vidyaniketan (CBSE  Sukali),Khasra No 145 Mouza Sukali(Gupchup) Tehsil Hingna Nagpur 441110,Hingna Road,Nagpur,Nagpur,Maharashtra,CBSE,7126630872,ghvidya@raisoni.net,A,HEAD OFFICE -NAGPUR
Hadas High School & Junior College,North Ambazari Rd  Near Senapati Bapat Chowk  Ramdaspeth  Nagpur   440012,Ramdaspeth,NAGPUR,NAGPUR,MAHARASHTRA,STATE,090289 34079,,A,HEAD OFFICE -NAGPUR
Ira International School,P-15  MIDC Area   Butibori  Nagpur   441122,Butibori,Nagpur,Nagpur,Maharashtra,CBSE,7103262607,,B,CHATRAPATI SQUARE CENTRE
Jindal Public School,Ragit Rd  Shahu Lay Out  Gurprakat Nagar  Duttawadi  Nagpur   440023,Dattawadi,Nagpur,Nagpur,Maharashtra,State,7104221008,jindalpublic010@gmail.com,B,HEAD OFFICE -NAGPUR
Jupiter Convent,Sawkar Nagar  Infront Of Orange City Hospital  Khamla  Khamla  Nagpur   440015,Khamala,Nagpur,Nagpur,Maharashtra,State,7122233974,,B,HEAD OFFICE -NAGPUR
Jain Heritage A Cambridge School,Katol Kalweshwar Road   Chicholi Village  Nagpur,Fetri ,Nagpur,Nagpur,Maharashtra,CBSE,8698739676,,B,HEAD OFFICE -NAGPUR
Kendriya Vidyalaya Ambajhari,Ordnance factory ambazari nagpur ,Ordanance Factory  Ambazari,Nagpur,Nagpur,Maharashtra,CBSE,710437552,kv_ambj04@rediffmail.com,A+,HEAD OFFICE -NAGPUR
Kendriya Vidyalaya  Vayusena Nagar, Near Botanical Garden  Vayusena Nagar  Nagpur   440007,Vayusena Nagar,Nagpur,Nagpur,Maharashtra,CBSE,7122512682,vsnnagpurkv@gmail.com,A,HEAD OFFICE -NAGPUR
Kendriya Vidyalaya  CRPF ,CRPF Gate   Digdoh Hills,Digdoh Hills,Nagpur,Nagpur,Maharashtra,CBSE,,,A,HEAD OFFICE -NAGPUR
Kurvey's New Model High School,Ambazari Road  Near Pooja Kirana Store  Vasant Nagar  Nagpur   440020,Ambhazari,Nagpur,Nagpur,Maharashtra,CBSE,7122246665,knmps.ngp@gmail.com,A,HEAD OFFICE -NAGPUR
M.K.H. Sancheti Public School & Junior College,Hindustan Colony  Ajni  Nagpur - 440003  Opposite SAI Mandir?,Ajni,Nagpur,Nagpur,Maharashtra,State,9552512934,info@sanchetischool.com,A,CHATRAPATI SQUARE CENTRE
Montfort Senior Secondary School,Gavshi Manapur  Ashokwan Wardha Road  Post-Ruie,Nagpur,Nagpur,Nagpur,Maharashtra,CBSE,9975047841,montfortnagpur@gmail.com,A+,CHATRAPATI SQUARE CENTRE
Mount Carmel Girls High School,Wardha Rd  Ajni Square  Vivekanand Nagar  Nagpur   440015,Ajni,Nagpur,Nagpur,Maharashtra,State,9856412350,,A,HEAD OFFICE -NAGPUR
Nairs Essence International School,84/1  Near Gajanan Maharaj Temple  Hingna Amravati bypass road  Nagalwadi   440023,Nagalwadi,Nagpur,Nagpur,Maharashtra,CBSE,7798118888,mohannair78@gmail.com,A,HEAD OFFICE -NAGPUR
Narayana Vidyalayam Amaravati,,,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,,AMRAVATI CENTRE
Narayana Vidyalayam,Wardha Rd  Nagpur   441108,Wardha Road,Nagpur,Nagpur,Maharashtra,CBSE,8237067164,nes@nesnv.com,A+,CHATRAPATI SQUARE CENTRE
NEERI Modern School,NEERI  NEHRU MARG  NAGPUR/RPTS Rd  Surendra Nagar  Laxminagar  Nagpur   440020,Laxmi Nagar,Nagpur,Nagpur,Maharashtra,CBSE,9374709660,neerimodskool@gmail.com,A,HEAD OFFICE -NAGPUR
New English High School & Junior College,New English High School  Congress Nagar  Near Dhnvate National College  ,Congress Nagar,Nagpur,Nagpur,Maharashtra,State,7122722424,,C,HEAD OFFICE -NAGPUR
Paranjape High School,221/B   Bajaj Nagar  Nagpur   440010,Bajaj Nagar,Nagpur,Nagpur,Maharashtra,State,7122231488,,B,HEAD OFFICE -NAGPUR
Prahar Military School C.P.and Berar Education Society?s,Telengkhadi Road  Ravi Nagar  Near C P Club  Nagpur   440001,Telangkhedi,Nagpur,Nagpur,Maharashtra,State,7122540615,,B,HEAD OFFICE -NAGPUR
R.S. Mundle English School,Samarth Nagar  Wardha Road  Nagpur   440015,Wardha Road,Nagpur,Nagpur,Maharashtra,State,7122252222,,A,CHATRAPATI SQUARE CENTRE
Rai English School,16  Goodluck Society  Gadge Nagar  Hingna Road  Nagpur   440016,Hingna Road,Nagpur,Nagpur,Maharashtra,State,7122221882,raienglishschool@gmail.com,B,HEAD OFFICE -NAGPUR
Sandipani School,Katol Bypass amravati road hazaripahad Friends Colony,Dabha,Nagpur,Nagpur,Maharashtra,CBSE,7122528045,,A+,HEAD OFFICE -NAGPUR
Saraswati Vidyalaya,Ambazari Rd  Shankar Nagar  Nagpur   440022,Shankar Nagar,Nagpur,Nagpur,Maharashtra,State,7122261079,sies@saraswatividyalayanagpur.in,A,HEAD OFFICE -NAGPUR
Scholars Convent,Shankar Nagar   585  Central Bazar Road  Shankar Nagar  East Shankar Nagar  Nagpur   440010,Bajaj Nagar,Nagpur,Nagpur,Maharashtra,CBSE,7126595650,convent.scholars@gmail.com,B,HEAD OFFICE -NAGPUR
School of Scholars  Wanadongri,sos  Hingna Rd  Wanadongri   441110,Hingna Road,Nagpur,Nagpur,Maharashtra,CBSE,7104242965,,A+,HEAD OFFICE -NAGPUR
School of Scholars (Formerly Vimaltai Tidke Convent),Atrey Layout  Nagpur   440022,Khamala,Nagpur,Nagpur,Maharashtra,CBSE,9595296904,principal.vtca@mgsnagpur.org,A+,CHATRAPATI SQUARE CENTRE
Somalwar High School Khamla,Khamla road Nagpur,Khamala,Nagpur,Nagpur,Maharashtra,State,7122288912,somalwaracademy@rediffmail.com,A+,CHATRAPATI SQUARE CENTRE
Somalwar High School Ramdaspeth,central bazar Road  Ramdaspeth  Nagpur   440025,Ramdaspeth,Saoner,Nagpur,Maharashtra,State,7122424950,somalwaracademy@rediffmail.com,A+,HEAD OFFICE -NAGPUR
Somalwar High School  Nikalas,Khamla Rd  Ring Rd Pratap Nagar Main Rd  Khamlay  Nagpur   440022,Nikalas,Nagpur,Nagpur,Maharashtra,State,7122282220,principal_1nikalas@rediffmail.com,A+,CHATRAPATI SQUARE CENTRE
Spick And Span,6  Bhausaheb Survey Nagar  Trimurti Nagar  Nagpur   440022,Trimurti  Nagar,Nagpur,Nagpur,Maharashtra,State,9422861207,spickandspanconvent@gmail.com,B,HEAD OFFICE -NAGPUR
St. Claret School,New Buti-Bori Wardha Road Nagpur - 441108,Butibori,Nagpur,Nagpur,Maharashtra,CBSE,9822718378,stclaretschoolbutibori@gmail.com,A+,CHATRAPATI SQUARE CENTRE
St. Xavier's High School,MIDC Hingna Road Nagpur,Hingna,Nagpur,Nagpur,Maharashtra,CBSE,7104234452,xaviers.midc@ryangroup.org,A+,HEAD OFFICE -NAGPUR
The Blind Relief Association Nagpur's Mundle English Medium School,NEAR DEEKSHA BHOOMI  OPP. GOVT ITI  S Ambazari Rd  Nagpur   440022,Deeksha Bhoomi,NAGPUR,NAGPUR,MAHARASHTRA,STATE,0712 222 1544,,A,HEAD OFFICE -NAGPUR
The Chanda Devi Saraf School,Amravati Bypass Katol road Nagpur,Dabha,Nagpur,Nagpur,Maharashtra,ICSE,7126462187,thecdschool@gmail.com,A,HEAD OFFICE -NAGPUR
The Royal Gondwana Public School  Nagpur,Wardha Road  Village Shankarpur Post Office Behind Trupti Restaurant  Wardha Road  Nagpur,Wardha Road,Nagpur,Nagpur,Maharashtra,CBSE,9923594714,info@royalgpschool.org,A,CHATRAPATI SQUARE CENTRE
Tip Top Convent,Swavlambi Nagar  Nagpur,Swavlambi Nagar,Nagpur,Nagpur,Maharashtra,State,9970195162,info@tiptopconvent.com,B,HEAD OFFICE -NAGPUR
Yashoda English Higher English  Trimurti Nagar,Ring Road  Trimurti Nagar  Nagpur,Trimurti Nagar,Nagpur,Nagpur,Maharashtra,State,9372012195,yashodahighersecschool@gmail.com,B,CHATRAPATI SQUARE CENTRE
Yashoda Lower English High School  Trimurti Nagar,Near Gajanand Mandir Road  Trimurti Nagar  Nagpur   440022,trimurti naghar,Nagpur,Nagpur,Maharashtra,State,7122243381,yashoda_highschool@reddifmail.com,B,HEAD OFFICE -NAGPUR
Yashoda Lower English School  Yashoda Nagar,Yashoda nagar nagpur,yashoda nagar,Nagpur,Nagpur,Maharashtra,State,7122246241,,B,HEAD OFFICE -NAGPUR
Yashoda Public School  Yashoda Nagar,Yashoda nagar nagpur,yashoda nagar,Nagpur,Nagpur,Maharashtra,State,7122246241,,B,CHATRAPATI SQUARE CENTRE
Demo Under HO Schools,Demo Address Under HO,Demo Address Under HO,Nagpur,Nagpur,Maharashtra,State,9096300320,abhishekahhi@gmail.com,A,HEAD OFFICE -NAGPUR
Demo Under HO Schools,Demo Address Under HO,Khamla,Nagpur,Nagpur,Maharashtra,State,9096300320,school@gmail.com,A+,HEAD OFFICE -NAGPUR
test,test,nagpur,nagpur,maharasta,nagpur,State,9807654321,puja@gmail.com,A,HEAD OFFICE -NAGPUR
test,test,nagpur,nagpur,nagpur,maharastra,CBSE,8790654321,pujad@gmail.com,A,EAST CENTRE - NAGPUR
test,test,test,test,test,maharastra,State,7890654321,puja@all1sourcetech.com,A+,EAST CENTRE - NAGPUR
East Demo School,East School for Testing,Test Area,Nagpur,Nagpur,MaharSHTRA,ICSE,9096300320,abhishekahhi@gmail.com,A+,EAST CENTRE - NAGPUR
East Tution  Demo,East Tution  Demo,Nagpur,Nagpur,Maharashtrs,Nagpur,State,9096300320,abhishekahhi@gmail.com,A,EAST CENTRE - NAGPUR
Atulesh Convent and High School,Dattatray Nagar  Nagpur - 440024  NEAR MAHAKALKAR SABHAGRUH,Raghuji Nagar,Nagpur,Nagpur,Maharashtra,State,7122744808,notavailable@emailid.com,D,EAST CENTRE - NAGPUR
Abhinandan High School,Nandanwan  Nagpur  Maharashtra  Postal Code: 440009,Nandanwan,Nagpur,Nagpur,Maharashtra,State,9823839171,noid@emailid.com,C,EAST CENTRE - NAGPUR
Bhavans Girdhardas Mohota Vidya Mandir,Hinganghat ,Hinganghat,Hinganghat,Wardha,Maharashtra,State,8888865799,bhavans.gvm@gmail.com,A+,RESIDENTIAL CENTRE
St John High School,Hinganghat,,Hingaghat,Wardha,Maharashtra,State,9049337441,stjohnhighschool@gmail.com,A,RESIDENTIAL CENTRE
Mahesh Gyanpeeth High School,Hinganghat,Hinganghat,Hinganghat,Wardha,Maharashtra,State,1234567890,noemailid@gmail.com,B,RESIDENTIAL CENTRE
Little Angel Convent,Hinganghat,Hinganghat,Hinganghat,Wardha,Maharashtra,State,8806414547,noemailid@gmail.com,B,RESIDENTIAL CENTRE
Kaswa Classes,Hinganghat,Hinganghat,Hinganghat,Wardha,Maharashtra,State,9422334075,noemailid@gmail.com,A+,RESIDENTIAL CENTRE
Centre Point School Wardhman Nagar,Wardhman Nagar,Wardhman nagar,Nagpur,Nagpur,Maharashtra,CBSE,7447407632,cpswn@centrepointschools.com,A+,EAST CENTRE - NAGPUR
St Anthony School,Ajni Nagpur,Ajni,Nagpur,Nagpur,Maharashtra,State,7122740848,noid@emailid.com,C,EAST CENTRE - NAGPUR
Rashtriya Vidyalaya,Krida Chowk  Hanuman Nagar,Hanuman Nagar,Nagpur,Nagpur,Maharashtra,State,7122759595,noid@emailid.com,D,EAST CENTRE - NAGPUR
Pandit Nehru Convent and High School,40  Hasanbaug Rd  Ramna Maruti Rd  Ishwar Nagar  Ramna Maruti Nagar  Nirmal Nagar,Ramna Maroti,Nagpur,Nagpur,Maharshtra,State,9373310880,pamditnehruconvent@gmail.com,C,EAST CENTRE - NAGPUR
New Era English School,Plot No. 185 A near new era english school Bholebaba Nagar   Uday Nagar Ring Rd  Manewada,Uday Nagar,Nagpur,Nagpur,Maharashtra,State,7122703638,newera4216@gmail.com,C,EAST CENTRE - NAGPUR
Navpratibha High School,Nagpur,Nagpur,Nagpur,Nagpur,Maharashtra,State,7122740436,noid@emailid.com,C,EAST CENTRE - NAGPUR
Manwata High School, Kunjilal Peth  Rameshwari  Nagpur ,Rameshwari,Nagpur,Nagpur,Maharashtra,State,9423104353,noid@emailid.com,C,EAST CENTRE - NAGPUR
Sarode Sir,Samudrapur,Samudrapur,Samudrapur,Wardha,Maharashtra,State,9423465210,sarode@gmail.com,A,RESIDENTIAL CENTRE
Jamdar High School,opposite to Suresh Bhat Sabhagruh Reshim Bagh,Reshimbagh,nagpur,Nagpur,MAHARASHTRA,State,9822949176,jamdar.highschool@gmail.com,C,EAST CENTRE - NAGPUR
EAST Testing School,Nagpur,Nagpur,Nagpur,Nagpur,Maharashtra,State,9096300320,demo@gmail.com,A,EAST CENTRE - NAGPUR
Mahesh Gyanpeeth High School,Hinganghat,Hinganghat,Hinganghat,Wardha,Maharashtra,State,7767808660,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Atharva Coaching Classes,Wardha,Wardha,Wardha,Wardha,Maharashtra,State,8007184777,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Saoner Public School  Gujarkhedi,Saoner,Saoner,Saoner,Nagpur,Maharashtra,State,7113232171,spsguj2saoner@rediffmail.com,A,RESIDENTIAL CENTRE
Saraswat central Public School,SAONER,Saoner,Saoner,Nagpur,Maharashtra,State,9130077242,saraswatp.s@rediffmail.com,A+,RESIDENTIAL CENTRE
K.John Public School,Saoner,Saoner,Saoner,Nagpur,Maharashtra,State,7113236336,kjpssaoner@gmail.com,A,RESIDENTIAL CENTRE
Indo Arvind Public School  Saoner,SAONER,Saoner,Saoner,Nagpur,Maharashtra,State,7113684513,ohsagar2000@yahoo.com,A,RESIDENTIAL CENTRE
Mahatma Gandhi High School,Wanadongari  Nagpur,Hingna,Nagpur,Nagpur,Maharashtra,State,8983051169,mghighschool@gmail.com,C,HEAD OFFICE -NAGPUR
St.M B Convent,automotive sqr Nagpur,kamptee road,Nagpur,Nagpur,Maharashtra,State,9325573608,st.mbconvent@gmail.com,C,SADAR CENTRE- NAGPUR
Mundle Public School,Wardha Road  Nagpur,Jamtha Wardha Road,Nagpur,Nagpur,Maharashtra,State,9970864574,mpsprincipal1@gmail.com,A,HEAD OFFICE -NAGPUR
Mahatma Gandhi English Medium High School,Wanadongari,Hingna,Nagpur,Nagpur,Maharashtra,State,9579079956,principal.mgehs@mgsnagpur.org,C,HEAD OFFICE -NAGPUR
demo under pune,demo,,pune,pune,Maharashtra,State,9096300320,demo@gmail.com,A+,PUNE CENTRE
B.R.A Mundle Public School,Dikshabhoomi Square Nagpur,Dikshabhoomi,Nagpur,Nagpur,Maharashtra,State,7122225238,padheymegha@gmail.com,A,HEAD OFFICE -NAGPUR
Adarsh saraswati sadan high school nagpur,Opp. Ram nagar bharat vidyalaya Ram nagar,Ram nagar,Nagpur,Nagpur,Maharashtra,State,9158997172,xyz@testmail.com,C,HEAD OFFICE -NAGPUR
Hindu Dnyanpeet,8 Rasta sq  laxmi nagar,Shankar Nagar,Nagpur,Nagpur,Maharashtra,State,8308183338,xyz@testmail.com,C,HEAD OFFICE -NAGPUR
DES Secondary School ,14/A  Lal Bahadur Shastri Rd    Pune  Maharashtra 411030,Sadashiv Peth,Pune,Pune,Maharashtra,State,2030866106,,B,PUNE CENTRE
City International School   Satara Road ,Maharshi Nagar  Behind Dena Bank,Pune Satara Road,Pune,Pune,Maharashtra,CBSE,2024275675,satararoad@cityinternationalschool.edu.in,A,PUNE CENTRE
Darshan Academy,CTS No.4510  1  Empire Estate Phase 1  Chinchwad  Pune,Empire Estate  Chinchwad,Pune,Pune,Maharashtra,CBSE,7774066557,info@darshanacademy.org,A,PUNE CENTRE
Sadhu Vaswani International School ,Nageshwar Nagar  Sector No. 6  Moshi  Pimpri-Chinchwad  Maharashtra 412105,Moshi,Pune,Pune,Maharashtra,CBSE,2020271166,,A,PUNE CENTRE
City International School  Aundh ,2/1 Vidyapeeth road Devghar Aundh  Bremen Chowk  Pune  Maharashtra 411007,Aundh,Pune,Pune,Maharashtra,CBSE,2025899773,,A,PUNE CENTRE
Blossom Public School  Tathawde,S.NO.82/2 Pune-Mumbai By-Pass Highway Tathawade Near Hinjewadi Infotech Park  Maharashtra 411033,Tathawade,Pune,Pune,Maharashtra,CBSE,8237076943,jspmbps@rediffmail.com,B,PUNE CENTRE
Boston World School ,Sr.no  44/1  Wadachiwadi Rd  Near Undri Octroi Naka  Wadachi Wadi  Undri  Pune  Maharashtra 411060,Undri,Pune,Pune,Maharashtra,ICSE,9579421314,info@bostonworldschool.com,A,PUNE CENTRE
GK Gurukul School,S. No. 68(P) & 70(P)  Opp. Govind Garden Pimple-Saudagar  Kranti Nagar  Pimple Gurav  Maharashtra 41,PimpleGurav,Pune,Pune,Maharashtra,ICSE,7447489896,info@gkgurukul.com,A,PUNE CENTRE
RIMS International School Undri, S.No 44/1  Wadachi Wadi Road  Near Undri Octroi Naka  Undri  Pune  411060,Undri,Pune,Maharashtra,Pune,ICSE,8928939235,info@rimsint.in,A,PUNE CENTRE
New English Secondary School ,Ramanbaug  Narayan Peth  pune  MH,Ramanbaug,Pune,Pune,Maharashtra,State,2065603236,nessr@despune.org,B,PUNE CENTRE
Indira National School  Tathawade ,S.No. 111/ 1 / 2  Opp. Indira Institute  Off New Pune- Mumbai Highway  Tathawade  Pune  Maharashtra ,Tathawade,Pune,Pune,Maharashtra,CBSE,2066731707,info@indiranationalschool.ac.in,A+,PUNE CENTRE
Sardar Dastur Hormazdiar high school,Tarapore Road  Camp  Pune  Maharashtra 411001,Camp,Pune,Pune,Maharashtra,State,2026362634,,B,PUNE CENTRE
Hutchings High School and Junior College ,7  Phayre Rd  Pune Cantonment  Pune  Maharashtra 411040,Camp,Pune,Pune,Maharashtra,ICSE,2026352764,hutchingshighschool@rediffmail.com,A+,PUNE CENTRE
Airforce School  Chandannagar,9 BRD  Pune Nagar Road  Chandan Nagar  Pune  Maharashtra 411014,Chandan nagar,Pune,Pune,Maharashtra,CBSE,2026633451,afsvnedn@gmail.com,A,PUNE CENTRE
Pune Police Public School ,Opp Rahul Theatre  Police Headquarters  Police Ground  Shivaji Nagar Narveer Tanaji Wadi  Shivajinag,Shivajinagar,Pune,Pune,Maharashtra,State,7888028771,pppsadmin@symbischools.ac.in,B,PUNE CENTRE
Moledina High School,Shankar Sheth Rd  Mira Society  Near  Guru Nanak Nagar  Pune  Maharashtra 411037,Swargate,Pune,Pune,Maharashtra,State,2026455796,,C,PUNE CENTRE
The Bishops Co-ed School  Undri ,S.No.16/7  Kadnagar  Opp.Ganesh Mandhir  Undri  India - 411060,Undri,Pune,Pune,Maharashtra,ICSE,2028641864,undri@thebishopsschool.net,A+,PUNE CENTRE
The HDFC School ,Sr.No. 238-241  Planet IT  Adjacent to TCS  (Behind Kalyan Jewellers) Magarpatta Road  Hadapsar  Pun,Magarpatta City,Pune,Pune,Maharashtra,CBSE,7410043111,admissions.pune@thehdfcschool.com,A+,PUNE CENTRE
Sungrace High School ,61/9  Jeevratnam Pillay Niketan  Wanowrie  Wanowrie  Pune  Maharashtra 411022,wanowrie,Pune,Pune,Maharashtra,State,2026852919,,B,PUNE CENTRE
The Bishops School  Camp ,5-A  General Bhagat Marg  Camp  Pune  Maharashtra 411001,Camp,Pune,Maharashtra,Pune,ICSE,2026360437,info@thebishopsschool.net,A+,PUNE CENTRE
Global Indian International School   Chinchwad ,Elpro International Limited Compound  Shridhar Nagar Road Pimpri-Chinchwad Link Road  Chinchwad  Pun,Chinchwad,Pune,Pune,Maharashtra,CBSE,2067333500,reception.chinchwad@globalindianschool.org,A+,PUNE CENTRE
Army Public School  Dighi  ,Alandi Road  VSNL Old Colony  Kalas  Pune  Maharashtra 411015,Dighi,Pune,Pune,Maharashtra,CBSE,9326129889,armyschooldighi@gmail.com,A,PUNE CENTRE
Fr. Agnel's Vidyankur School ,Near Hari Om Food  Sopan Nagar Road  Vrindavan Nagar  Wadgaon Sheri  Pune  Maharashtra 411014, Wadgaon Sheri,Pune,Pune,Maharashtra,State,8888811410,schoolvidyankur@gmail.com,B,PUNE CENTRE
Royaal World School,New Tapovan Road  Near  Viabhav Nagar Rd  Pimpri Gaon  Pimpri Colony  Pune  Maharashtra 411017,Pimpri Gaon,Pune,Pune,Maharashtra,CBSE,9823040230,royaalworldschool@gmail.com,A,PUNE CENTRE
St. Mary's School  Boys  Pune,5B  General Bhagat Marg  Camp  Pune  Maharashtra 411001,Camp,Pune,Pune,Maharashtra,ICSE,2026356282,info@smspune.com,A+,PUNE CENTRE
St. Mary's School  Girls Pune,5B  General Bhagat Marg  Camp  Pune  Maharashtra 411001,Camp,Pune,Pune,Maharashtra,ICSE,2026356282,info@smspune.com,A+,PUNE CENTRE
Vidya Pratishthans Nanded City Public School ,Sinhgad Rd  Nanded  Pune  Maharashtra 411041,Sinhgad Rd,Pune,Pune,Maharashtra,ICSE,2067520113,vpncps@gmail.com,B,PUNE CENTRE
City International School  Pimpri,Morwadi Road  Pimpri  Pune  Maharashtra 411044,Morewadi,Pune,Pune,Maharashtra,CBSE,9850137632,cispp@rediffmail.com,A,PUNE CENTRE
CM International School ,Survey No. 4/2+3  SKP Campus  Baner  Balewadi  Pune - 411045,Balewadi,Pune,Pune,Maharashtra,CBSE,7719980033,info@cminternationalschool.com,B,PUNE CENTRE
Dr. Kalmadi Shamarao High School  Aundh,Ward No. 8  Aundh Gaon  Aundh  Pune  Maharashtra 411027,Aundh,Pune,Pune,Maharashtra,State,2025893464,khs.aundh@kaveri.edu.in,B,PUNE CENTRE
Vidyashilp Public School,Survey No. 9/2  Yevalewadi  Kondhwa   Pune  Maharashtra 411048,Kondhwa,Pune,Pune,Maharashtra,CBSE,9595221940,info@vidyashilp.in,B,PUNE CENTRE
S.P.M.English School,S.P.M English School  1658  Sadashiv Peth  S.P.College Campus  Pune â€“ 411030.,Sadashivpeth,Pune,Pune,Maharashtra,State,2024321988,secspmeng@gmail.com,B,PUNE CENTRE
DAV Public School ,S.NO 157  Plot no 31  Seasons Road  Raagdari Society  Aundh  Pune  Maharashtra 411007,Aundh,Pune,Pune,Maharashtra,CBSE,2025890081,davaundh@gmail.com,A+,PUNE CENTRE
AW Sindhu Vidya Bhavan,No. 352  Sindh Society  Sadhu Vasvani Nagar  Aundh  Pune  Maharashtra 411007,Aundh,Pune,Pune,Maharashtra,State,2025851816,sindhuvidyabhavan@yahoo.com,B,PUNE CENTRE
Bharat Dhyan Mandir,Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,B,RESIDENTIAL CENTRE
Kendriya Vidyalaya,ordinance factory  Pulgaon,Pulgaon  Wardha,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Gandhi City Public School,Pulgaon,Pulgaon,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Dhage Tuition Classes,Arvi road  Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
AGRAGRAMI SCHOOL (CBSE),Arvi road  Wardha,Wardha,Wardha,Wardha,Maharashtra,State,7152250181,noemailid@gmail.com,A,RESIDENTIAL CENTRE
AGRAGRAMI HIGH SCHOOL  State,SEWAGRAM ROAD Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Shahu's Garden High school (BESA),Shahu Nagar Besa Road Nagpur,Shahu Nagar Besa Road,Nagpur,Nagpur,Maharashtra,State,7122704103,,A,EAST CENTRE - NAGPUR
St. Alphonsa Sr. Sec School  Wardha,SAWANGI Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Bhavan's Lloyds Vidya Niketan,BHUGAAON Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Ashwini International School,S. No. 58/1  Behind Indira College  Near Ganga Cypress  Tathawade  Pimpri-Chinchwad  Maharashtra 411,Tathawade,Pune,Pune,Maharashtra,ICSE,9730704598,aispune1234@gmail.com,A,PUNE CENTRE
St. John High School,Pulgaon,Pulgaon  Wardha,Wardha,Wardha,Maharashtra,State,,stjohnpulgaon@gmail.com,A,RESIDENTIAL CENTRE
Sanskriti School  Wagholi ,Gat No. 571  Wagholi  Purvarang Campus  Near Wagheshwar Temple  Pune  Maharashtra 412207,Wagholi,Pune,Pune,Maharashtra,CBSE,9272220404,,A+,PUNE CENTRE
New English Academy of Genius,Mahadeopura Wardha,Wardha,Wardha,Wardha,Maharashtra,CBSE,,noemailid@gmail.com,A,RESIDENTIAL CENTRE
RAMABAI DESHMUKH SCHOOL, Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,noemailid@gmail.com,B,RESIDENTIAL CENTRE
St. Joseph High School  Pashan,Pashan Road Pune - 411 008.,Pashan,Pune,Pune,Maharashtra,State,2025655505,stjosephjmpn@gmail.com,A,PUNE CENTRE
SARASWATI ENGLISH MEDIUM,Wardha,Wardha,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
SNBP International School  Yerwada, 191 L-57A  Nagpur Chawl Rd  Maharashtra Co-Operative Housing Society  Yerawada  Pune  Maharashtra 4,Yerawada,Pune,Pune,Maharashtra,State,2026686162,,B,PUNE CENTRE
Epiphany School,Guruwar Peth  5  Guruwar Peth  Pune  Maharashtra 411042,Guruwar Peth,Pune,Pune,Maharashtra,State,2024467524,,C,PUNE CENTRE
MAHARISHI VIDYA MANDIR,Wardha,Wardha,Wardha,Wardha,Maharashtra,State,8956732225,noemailid@gmail.com,A,RESIDENTIAL CENTRE
Tiwari Sir Tuition classes,Wardha,Wardha,Wardha,Wardha,Maharashtra,State,7038861371,noemailid@gmail.com,A+,RESIDENTIAL CENTRE
